學期,課號,永久課號,課程名稱,人數上限,時間地點,學分,時數,開課教師,課程選別,摘要
112下,515600,CSCS20031,競技程式設計(一),96,Fabc-EC115[GF],3,3,謝旻錚,選修,主開：三年級，外系生請於開學後選課階段網路選課；資工系學生優先選課；學士班七大主題學程;開放隨班附讀
112下,515601,CSCS20022,數位訊號處理概論,60,T34n-ED302,3,3,莊仁輝,選修,主開：二年級，外系生請於開學後選課階段網路選課；資工系學生優先選課
112下,515602,CSCS10019,資訊工程專題(二),不限,無,2,2,陳冠文,必修,資工系學生優先選課；須修過資訊工程專題(一)才可修資訊工程專題(二)；Pass the “Computer Science and Engineering Projects (I)” before taking “Computer Science and Engineering Projects (II)”;主開3年級[English Medium Course]「於學期末的第17/18彈性教學週，原則上會安排在W78的時間舉行專題報告或競賽」; 本系生優先權順序：3年級，4年級，2年級，1年級
112下,515603,CSCS10018,資訊工程專題(一),0,無,2,2,資工系,必修,不開放網路選課，需經指導教授同意後以書面加簽；[English Medium Course] 加簽方式請參閱系網頁https://www.cs.nycu.edu.tw/ 說明。
112下,515604,CSCS20040,網路系統總整與實作,60,T34-ED202[GF],3,3,王協源,選修,主開：三年級，外系生請於開學後選課階段網路選課；須修過基礎程式設計才可修「網路系統總整與實作」；資工系學生優先選課；學士班七大主題學程；原課名「計算機網路實驗」與「網路系統總整與實作」與新舊課程僅能採計一門為畢業學分，不能重覆採計[另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously] ; 本系生優先權順序：3&4年級，2年級，1年級
112下,515605,CSCS20038,網路規劃與管理實務,50,"F34n-EC315[GF],F34n-EC316[GF],F34n-EC324[GF]",3,3,曾建超,選修,主開：三年級，外系生請於開學後選課階段網路選課；資工系學生優先選課
112下,515606,CSCS20049,電腦安全總整與實作,90,M34-EC115[GF],3,3,李奇育,選修,[English Medium Course]主開：三年級，外系生請於開學後選課階段網路選課；須修過基礎程式設計才可修電腦安全總整與實作(英文授課)；資工系學生優先選課；學士班七大主題學程；原課名「電腦安全概論」與「電腦安全總整與實作」與新舊課程僅能採計一門為畢業學分，不能重覆採計；[另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously] ; 本系生優先權順序：3&4年級，2年級，1年級
112下,515607,CSCS20018,微分方程,60,M7R34-ED102[GF],3,3,黃世強,選修,[English Medium Course]主開：二年級，外系生請於開學後選課階段網路選課；資工系學生優先選課；開放隨班附讀
112下,515608,CSCS20054,嵌入式系統總整與實作,60,"F56-EC220[GF],F56-EC221[GF],F56-EC222[GF]",3,3,"曾煜棋,吳昆儒",選修,主開：三年級，外系生請於開學後選課階段網路選課；資工系學生優先選課；請依各組入學年度之「必修科目表」選課；學士班七大主題學程；須修過基礎程式設計才可修「嵌入式系統總整與實作」；原課名「嵌入式系統設計概論與實作」與「嵌入式系統總整與實作」新舊課程僅能採計一門為畢業學分，不能重覆採計。上課教室:EC220+EC221+EC222；本系生優先權順序：3&4年級，2年級，1年級 [另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously]
112下,515609,CSCS20037,統計學,60,R34-ED302[GF],3,3,曾意儒,選修,[English Medium Course]主開：三年級，外系生請於開學後選課階段網路選課；資工系學生優先選課；[另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously]
112下,515610,CSCS20035,組合數學,60,Mab-EC114[GF],3,3,高孟駿,選修,[English Medium Course]主開：二年級，外系生請於開學後選課階段網路選課；資工系學生優先選課；[另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously]
112下,515611,CSCS20015,密碼學概論,170,T2F56-ED117[GF],3,3,曾文貴,選修,主開：二年級，外系生請於開學後選課階段網路選課；資工系學生優先選課；學士班七大主題學程；本系生優先權順序：2年級，4年級，3年級，1年級
112下,515612,CSCS10002,基礎程式設計,不限,無,0,3,"吳凱強,洪瑞鴻,黃寗琪",必修,資工系學生優先選課；本課程實際內容為『程式能力鑑定』考試，及格條件為通過任一次考試，除考試後及另訂定的助教輔導時間外，本課程無實體教學。主開2年級
112下,515613,CSCS10017,訊號與系統,50,M56-EC115[GF],3,3,劉育綸,選修,[English Medium Course]主開：二年級，外系生請於開學後選課階段網路選課；資工系學生優先選課。另一小時(第3節)以非同步上課方式。
112下,515614,CSCS20042,計算機網路管理,80,Rabc-EC115[GF],3,3,蔡孟勳,選修,主開：四年級，外系生請於開學後選課階段網路選課；資工系學生優先選課
112下,515615,CSCS20028,物聯網應用設計與實作,120,T56-EC015[GF],3,3,"林一平,林勻蔚,蔡文能",選修,主開：二年級，外系生請於開學後選課階段網路選課；資工系與電資學士班學生優先選課；[另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously]
112下,515616,CSCS00001,服務學習(一),218,,0,1,黃敬群,必修,限資工系同學選課；請同學注意：學生必修服務學習(一)及服務學習(二)，以依序修習為原則，但不得於同一學期修習二門服務學習課程。
112下,515617,CSCS00003,生涯規劃及導師時間,218,"W78-EC114[GF],W78-EC122[GF]",0,2,陳添福,必修,自101學年度起入學者，學士班一年級學生每學期必修『導師時間』（0學分），需通過2學期始得畢業。主開：一年級，其他年級請於第二階段選課初選。
112下,515619,CSCS20006,人工智慧總整與實作,100,M56-EC015[GF],3,3,王才沛,選修,[English Medium Course]主開：三年級，外系生請於開學後選課階段網路選課；須修過基礎程式設計才可修「人工智慧總整與實作 (英文授課)」；資工系與電資學士班學生優先選課；學士班七大主題學程；[另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously] ; 本系生優先權順序：3&4年級，2年級，1年級
112下,515621,CSCS10031,照護科技跨域專題(II),0,無,2,2,資工系,必修,不開放網路選課，需經指導教授同意後[需繳交指導教授同意書https://www.cs.nycu.edu.tw/education/cross-domain-study 下載]，以書面加簽[填寫加簽單]限「智慧健康照護跨域學程」之學生選修。
112下,515622,CSCS10029,生醫資訊跨領域專題(二),0,無,2,2,資工系,選修,不開放網路選課，需經指導教授同意後[需繳交指導教授同意書https://www.cs.nycu.edu.tw/education/cross-domain-study 下載]，以書面加簽[填寫加簽單]限已修習「生物資訊工程跨域學程」之同學選修。
112下,515624,CSCS20046,軟體工程概論,不限,T567-ED102[GF],3,3,王豐堅,選修,主開：三年級，外系生請於開學後選課階段網路選課；資工系學生優先選課
112下,110051,MDMD00007,健康照護數位轉型講座,不限,"S34-ED302[GF],S34-YL405[YM]",2,2,"陳麗芬,童恒新,曾意儒",必修,1. 陽明校區於圖資405教室；光復校區於工程四館ED302教室上課。 2. 實際上課時間請依課表時間為主。 3. 開放大學部、碩博班選課。
112下,110052,MDMD00008,數位醫學專題研究,不限,"M78-ED305[GF],M78-YL404[YM]",3,3,"陳麗芬,曾意儒,嚴錦城",選修,1.陽明校區於圖資404教室；光復校區於工程四館ED305教室上課。
112下,515500,CSCS10025,離散數學,87,M34-EC015[GF],3,3,楊武,必修,主開：一年級，其他年級請於第二階段選課初選，外系生請於開學後選課階段網路選課；本系生優先權順序：1年級，4年級，3年級，2年級 ; 電子，應數系及管理學院不同意所屬學生採計通識學分[另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously]
112下,515501,DCP2353,離散數學,87,M34-EC114[GF],3,3,樓洋,必修,[English Medium Course]主開：一年級，其他年級請於第二階段選課初選，外系生請於開學後選課階段網路選課；本系生優先權順序：1年級，4年級，3年級，2年級；電子，應數系及管理學院不同意所屬學生採計通識學分[另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously]
112下,515502,CSCS10025,離散數學,87,M34-EC122[GF],3,3,嚴力行,必修,[English Medium Course]主開：一年級，其他年級請於第二階段選課初選，外系生請於開學後選課階段網路選課；本系生優先權順序：1年級，4年級，3年級，2年級 ；電子，應數系及管理學院不同意所屬學生採計通識學分[另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously]
112下,515503,CSCS10005,數位電路設計,70,W34F7-EC016[GF],3,3,莊仁輝,必修,主開：一年級，其他年級請於第二階段選課初選，外系生請於開學後選課階段網路選課 ; 本系生優先權順序：1年級，4年級，3年級，2年級
112下,515504,CSCS10005,數位電路設計,70,W34F7-ED117[GF],3,3,蔡孟勳,必修,主開：一年級，其他年級請於第二階段選課初選，外系生請於開學後選課階段網路選課 ; 本系生優先權順序：1年級，4年級，3年級，2年級
112下,515505,CSCS10005,數位電路設計,70,W34F7-EDB27[GF],3,3,范倫達,必修,[English Medium Course]主開：一年級，其他年級請於第二階段選課初選，外系生請於開學後選課階段網路選課 ; 本系生優先權順序：1年級，4年級，3年級，2年級
112下,515506,CSCS10021,資料結構與物件導向程式設計,70,"M56R2-EC114[GF],Tabc-EC315[GF],Tabc-EC316[GF],Tabc-EC324[GF]",3,5,詹力韋,必修,主開：一年級，其他年級請於第二階段選課初選，外系生請於開學後選課階段網路選課；本系生優先權順序：1年級，4年級，3年級，2年級 ; Tabc上課教室:EC315、EC316、EC324。
112下,515507,CSCS10021,資料結構與物件導向程式設計,70,"M56R2-EC122[GF],Rabc-EC315[GF],Rabc-EC316[GF],Rabc-EC324[GF]",3,5,黃世強,必修,[English Medium Course]主開：一年級，其他年級請於第二階段選課初選，外系生請於開學後選課階段網路選課；本系生優先權順序：1年級，4年級，3年級，2年級 ; Rabc上課教室:EC315、EC316、EC324
112下,515508,CSCS10021,資料結構與物件導向程式設計,70,"Mabc-EC315[GF],Mabc-EC316[GF],Mabc-EC324[GF],M56R2-EDB27[GF]",3,5,袁賢銘,必修,主開：一年級，其他年級請於第二階段選課初選，外系生請於開學後選課階段網路選課；本系生優先權順序：1年級，4年級，3年級，2年級 ; Mabc上課教室:EC315、EC316、EC324
112下,515509,CSCS10014,計算機組織,70,R56-EC122[GF],3,3,李毅郎,必修,主開：二年級，其他年級請於第二階段選課初選，外系生請於開學後選課階段網路選課 ; 本系生優先權順序：2年級，4年級，3年級，1年級 [另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously]
112下,515510,CSCS10014,計算機組織,70,R56-EC115[GF],3,3,蔡淳仁,必修,[English Medium Course]主開：二年級，其他年級請於第二階段選課初選，外系生請於開學後選課階段網路選課 ; 本系生優先權順序：2年級，4年級，3年級，1年級 [另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously]
112下,515511,CSCS10014,計算機組織,70,R56-EC016[GF],3,3,葉宗泰,必修,[English Medium Course]主開：二年級，其他年級請於第二階段選課初選，外系生請於開學後選課階段網路選課 ; 本系生優先權順序：2年級，4年級，3年級，1年級 [另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously]
112下,515512,CSCS10004,數值方法,80,M7R34-EC015[GF],3,3,林文杰,選修,主開：二年級，外系生請於開學後選課階段網路選課；資工系學生優先選課；請依各組入學年度之「必修科目表」選課；學士班七大主題學程
112下,515513,CSCS10004,數值方法,80,M7R34-EC016[GF],3,3,莊榮宏,選修,主開：二年級，外系生請於開學後選課階段網路選課；資工系學生優先選課；請依各組入學年度之「必修科目表」選課；學士班七大主題學程
112下,515514,CSCS20007,人工智慧概論,80,T56-ED117[GF],3,3,彭文志,選修,主開：二年級，外系生請於開學後選課階段網路選課；資工系學生優先選課；學士班七大主題學程;[另外1小時(第3節)以非同步上課方式the third period of class will be held asynchronously] ; 本系生優先權順序：2年級，4年級，3年級，1年級
